Question,A,B,C,D,Correct,Marks
What is the chemical symbol for Gold?,Ag,Au,Gd,Go,1,1
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Marie Curie,1,2
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,1,1
What is the unit of electric resistance?,Volt,Ampere,Ohm,Watt,2,1
Which gas do plants primarily use for photosynthesis?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,3,2
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,2,1
Who is known as the father of the modern computer?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,1,2
What is the approximate speed of light?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,0,2
Which element has the atomic number 1?,Helium,Oxygen,Hydrogen,Carbon,2,1
Which common device is used to measure temperature?,Barometer,Hygrometer,Thermometer,Anemometer,2,1
