Question,A,B,C,D,Correct,Marks
Which is the largest country in the world by land area?,Canada,China,Russia,USA,2,2
How many hearts does an octopus have?,1,2,3,4,2,1
Which river is the longest in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,1,2
Which mammal is known as the "King of the Jungle"?,Tiger,Elephant,Lion,Gorilla,2,1
Which is the smallest continent by land area?,Africa,Australia,Europe,South America,1,1
What is the fastest land animal?,Cheetah,Lion,Pronghorn,Springbok,0,1
Which desert is the largest in the world?,Sahara,Gobi,Arabian,Antarctic,3,2
What is a group of lions called?,Pack,Herd,Pride,Troop,2,1
Which mountain peak is the highest in the world?,K2,Kangchenjunga,Lhotse,Mount Everest,3,2
Which animal is known to have the most powerful bite in the world?,Hippopotamus,Grizzly Bear,Nile Crocodile,Great White Shark,2,2
