Question,A,B,C,D,Correct,Marks
Who was the first person to walk on the moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,2,2
In which year did World War II end?,1939,1941,1945,1950,2,2
Which ancient civilization built the Great Pyramid of Giza?,Romans,Greeks,Egyptians,Mayans,2,2
Who wrote the play "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,1,1
What is the national flower of Japan?,Rose,Lily,Sunflower,Cherry Blossom,3,1
The Renaissance period began in which country?,France,Germany,Italy,England,2,2
Who was the first woman to win a Nobel Prize?,Mother Teresa,Marie Curie,Indira Gandhi,Rosa Parks,1,2
Which empire was ruled by Julius Caesar?,Ottoman Empire,British Empire,Roman Empire,Mongol Empire,2,1
The Great Wall of China was primarily built to protect against which group?,Mongols,Vikings,Aztecs,Persians,0,2
In which century did the French Revolution take place?,17th,18th,19th,20th,1,2
